legacy_poll_id,election_cycle_id,legacy_sample_proxy_key,poll_sample_id,poll_reading_id,disposition,notes
toronto_2023-2023-05-11-076ef4ef,toronto_2023,toronto_2023|mainstreet_research|2023-05-11|12050.0,staging:toronto_2023:mainstreet_research:2023-05-11:n12050.0,staging:toronto_2023-2023-05-11-076ef4ef,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-05-13-fe817631,toronto_2023,toronto_2023|liaison_strategies|2023-05-13|13180.0,liaison_city_2023_05_12_13_n1318,liaison_2023_05_12_13_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-14-f216820b,toronto_2023,toronto_2023|forum_research|2023-05-14|10290.0,forum_city_2023_05_13_n1029,forum_2023_may13_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-17-40ce4bce,toronto_2023,toronto_2023|mainstreet_research|2023-05-17|11250.0,mainstreet_city_2023_05_17_n1125,mainstreet_2023_may19_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-18-e960c650,toronto_2023,toronto_2023|liaison_strategies|2023-05-18|13110.0,liaison_city_2023_05_17_18_n1311,liaison_2023_05_17_18_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-20-b403ec48,toronto_2023,toronto_2023|forum_research|2023-05-20|10000.0,forum_city_2023_05_19_n1000,forum_2023_may19_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-25-3a934378,toronto_2023,toronto_2023|mainstreet_research|2023-05-25|8380.0,staging:toronto_2023:mainstreet_research:2023-05-25:n8380.0,staging:toronto_2023-2023-05-25-3a934378,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-05-27-5af2e4a3,toronto_2023,toronto_2023|liaison_strategies|2023-05-27|13050.0,liaison_city_2023_05_26_27_n1305,liaison_2023_05_26_27_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-27-ad718bff,toronto_2023,toronto_2023|forum_research|2023-05-27|10070.0,forum_city_2023_05_26_n1007,forum_2023_may26_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-31-30f43af0,toronto_2023,toronto_2023|mainstreet_research|2023-05-31|11100.0,staging:toronto_2023:mainstreet_research:2023-05-31:n11100.0,staging:toronto_2023-2023-05-31-30f43af0,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-06-02-5e744916,toronto_2023,toronto_2023|forum_research|2023-06-02|10320.0,forum_city_2023_06_02_n1032,forum_2023_jun02_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-02-85a96bf1,toronto_2023,toronto_2023|viewpoints_research|2023-06-02|7800.0,viewpoints_city_2023_06_01_02_n1004,viewpoints_2023_06_02_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-04-35b1f370,toronto_2023,toronto_2023|liaison_strategies|2023-06-04|12870.0,liaison_city_2023_06_03_04_n1287,liaison_2023_06_03_04_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-08-1d2a2a3e,toronto_2023,toronto_2023|mainstreet_research|2023-06-08|7060.0,staging:toronto_2023:mainstreet_research:2023-06-08:n7060.0,staging:toronto_2023-2023-06-08-1d2a2a3e,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-06-09-c2c4b67a,toronto_2023,toronto_2023|forum_research|2023-06-09|10470.0,forum_city_2023_06_09_n1047,forum_2023_jun09_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-11-2c161a34,toronto_2023,toronto_2023|mainstreet_research|2023-06-11|8330.0,staging:toronto_2023:mainstreet_research:2023-06-11:n8330.0,staging:toronto_2023-2023-06-11-2c161a34,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-06-11-427f06fa,toronto_2023,toronto_2023|liaison_strategies|2023-06-11|11970.0,liaison_city_2023_06_10_11_n1197,liaison_2023_06_10_11_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-13-1d20c510,toronto_2023,toronto_2023|liaison_strategies|2023-06-13|11560.0,liaison_city_2023_06_12_13_n1156,liaison_2023_06_12_13_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-13-a85f2b10,toronto_2023,toronto_2023|ipsos|2023-06-13|10010.0,ipsos_city_2023_06_09_13_n1001,ipsos_2023_total_repercentaged,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-15-d7599146,toronto_2023,toronto_2023|mainstreet_research|2023-06-15|8990.0,mainstreet_city_2023_06_15_n899,mainstreet_2023_cp24_c__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-16-e57b0970,toronto_2023,toronto_2023|forum_research|2023-06-16|10060.0,staging:toronto_2023:forum_research:2023-06-16:n10060.0,staging:toronto_2023-2023-06-16-e57b0970,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-06-18-c78c5dae,toronto_2023,toronto_2023|liaison_strategies|2023-06-18|11520.0,liaison_city_2023_06_17_18_n1152,liaison_2023_06_17_18_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-19-1521a447,toronto_2023,toronto_2023|viewpoints_research|2023-06-19|10070.0,viewpoints_city_2023_06_15_19_n1007,viewpoints_jun19_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-19-1629c424,toronto_2023,toronto_2023|mainstreet_research|2023-06-19|5520.0,mainstreet_city_2023_06_19_n552,mainstreet_2023_jun20_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-22-40f3d792,toronto_2023,toronto_2023|mainstreet_research|2023-06-22|14810.0,mainstreet_city_2023_06_22_n1481,mainstreet_2023_cp24_b__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-23-2c0221b3,toronto_2023,toronto_2023|liaison_strategies|2023-06-23|10860.0,liaison_city_2023_06_22_23_n1086,liaison_2023_06_22_23_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-23-5253ec7d,toronto_2023,toronto_2023|forum_research|2023-06-23|10370.0,forum_city_2023_06_23_n1037,forum_2023_jun23_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-06-24-7cdc9fdb,toronto_2023,toronto_2023|mainstreet_research|2023-06-24|9400.0,staging:toronto_2023:mainstreet_research:2023-06-24:n9400.0,staging:toronto_2023-2023-06-24-7cdc9fdb,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2023-2023-06-25-c32aea31,toronto_2023,toronto_2023|mainstreet_research|2023-06-25|10300.0,staging:toronto_2023:mainstreet_research:2023-06-25:n10300.0,staging:toronto_2023-2023-06-25-c32aea31,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
