poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
liaison_20260510_11_mayor_unlabelled_all_field,liaison-2026-05-11,liaison_2026-05-11_full,"pages 4 and 9, sample-size and four-option vote-intention tables",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,not_reported,,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent four-option reading from the same sample as the Decided and Leaning reading. Page 9 includes Undecided, but neither page 9 nor the page 4 Sample Sizes table labels this denominator All Voters or all respondents; the denominator and reading bases remain unreported rather than inferred. Displayed shares sum to 99% because of source rounding and are preserved without adjustment. Candidate offer order and questionnaire order are not reported.",general_vote_intention
liaison_20260510_11_mayor_decided_leaning,liaison-2026-05-11,liaison_2026-05-11_full,"pages 7-8, Decided and Leaning chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,custom,Decided and Leaning,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent denominator from the same respondent sample. No decided-and-leaning base is published, so it is not derived from the overall sample-size table. Candidate offer order and questionnaire order are not reported.",general_vote_intention
mainstreet_20260618_mayor_raw,mainstreet-2026-06-18,mainstreet_2026-06-18_full,pages 3-4; detailed total column on page 4,mayoral,toronto-mayor-2026,not_reported,,,reported,How would you vote for Mayor if the election were today?,raw published field,"adults, 18 years of age or older, living in Toronto",not_reported,,not_reported,,reported,1157,reported,1157,not_reported,,unknown,complete,percent,1,"No denominator label is printed, so all-respondent semantics are not inferred solely from the full base. “Someone Else” is retained separately from Undecided. Dependent reading from the same sample.",general_vote_intention
mainstreet_20260618_mayor_leaning,mainstreet-2026-06-18,mainstreet_2026-06-18_full,pages 5-6; detailed total column on page 6,mayoral,toronto-mayor-2026,not_reported,,,reported,How would you vote for Mayor if the election were today? [Undecideds asked which candidate they are leaning towards],leaner adjustment with residual undecided,"adults, 18 years of age or older, living in Toronto",not_reported,,custom,[Undecideds asked which candidate they are leaning towards],reported,1157,reported,1157,not_reported,,unknown,complete,percent,1,The exact bracketed transformation is preserved; residual Undecided remains separate from “Someone Else.” Dependent reading from the same sample. Displayed shares sum to 100.1% because of source rounding.,general_vote_intention
mainstreet_20260618_mayor_decided,mainstreet-2026-06-18,mainstreet_2026-06-18_full,pages 7-8; detailed total column on page 8,mayoral,toronto-mayor-2026,not_reported,,,reported,How would you vote for Mayor if the election were today? [Only undecideds removed],only undecideds removed,"adults, 18 years of age or older, living in Toronto",not_reported,,custom,[Only undecideds removed],reported,985,reported,960,not_reported,,unknown,complete,percent,1,The source's exact transformation label is preserved; unweighted and weighted bases differ and are not reconciled. Dependent reading from the same sample.,general_vote_intention
mainstreet_20260618_mayor_forced_two_way,mainstreet-2026-06-18,mainstreet_2026-06-18_full,pages 9-10; detailed total column on page 10,mayoral,toronto-mayor-2026,not_reported,,,reported,"In a hypothetical two-way race between Olivia Chow and Brad Bradford, how would you vote if those were your only options?",hypothetical forced two-way,"adults, 18 years of age or older, living in Toronto",not_reported,,not_reported,,reported,1157,reported,1157,not_reported,,unknown,complete,percent,1,"The forced-choice condition is explicit in the question. No separate denominator label is printed, so all-respondent semantics are not inferred solely from the full base. Dependent reading from the same sample.",general_vote_intention
liaison_20260628_30_mayor_all,liaison-2026-06-30,liaison_2026-06-30_tables,"page 1, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,1,reported,"If a Toronto mayoral election were held today, who would you vote for?",,Toronto residents,not_reported,,all_respondents,All voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-06-30_tables page 1, Total column; population is reported in liaison_2026-06-30_graphs page 3. No turnout or eligibility screen and no questionnaire order are reported. Response option_order preserves published table row order only. Complete published outcome rows sum to 100%.",general_vote_intention
liaison_20260628_30_mayor_decided,liaison-2026-06-30,liaison_2026-06-30_tables,"page 2, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,2,reported,"If a Toronto mayoral election were held today, who would you vote for? Decided voters only.",,Toronto residents,not_reported,,decided_respondents,Decided voters,reported,805,reported,801,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-06-30_tables page 2, Total column; population is reported in liaison_2026-06-30_graphs page 3. Companion graph page 4 reports the same 49/40/10 shares but uses alternate question wording and labels the denominator 'Decided and Leaning'; the table instead asks 'Decided voters only' and labels the denominator 'Decided voters', so this record preserves the table and exposes the conflict. Complete published outcome rows sum to 99%; graph page 3 says results may not add to 100% because of rounding. No turnout or eligibility screen and no questionnaire order are reported.",general_vote_intention
liaison_20260724_26_mayor_all,liaison-2026-07-26,liaison_2026-07-26_tables,"page 1, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,1,reported,"If a Toronto mayoral election were held today, who would you vote for?",,Toronto residents,not_reported,,all_respondents,All voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-07-26_tables page 1, Total column; population is reported in liaison_2026-07-26_graphs page 3. No turnout or eligibility screen and no questionnaire order are reported. Response option_order preserves published table row order only. Complete published outcome rows sum to 100%.",general_vote_intention
liaison_20260724_26_mayor_decided_leaning,liaison-2026-07-26,liaison_2026-07-26_tables,"page 2, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,2,reported,"If a Toronto mayoral election were held today, who would you vote for? Decided voters only.",,Toronto residents,not_reported,,custom,Decided and Leaning voters,reported,805,reported,805,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-07-26_tables page 2, Total column; population is reported in liaison_2026-07-26_graphs page 3. Within the table, the question ends 'Decided voters only' while the subtitle labels the denominator 'Decided and Leaning voters'; both exact source statements are preserved. Companion graph page 4 uses alternate question wording, labels the denominator 'Decided and Leaning', and reports the same 49/41/10 shares. No turnout or eligibility screen and no questionnaire order are reported.",general_vote_intention
forum_20260729_mayor_primary,forum-2026-07-29,forum_2026-07-29_full,"page 3, primary mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, who would you vote for? + Even though you may not have made up your mind, who are you leaning toward at this time?",published field,Toronto residents over the age of 18,not_reported,,custom,[Decided/ Leaning],reported,887,reported,888,not_reported,,unknown,complete,percent,0,"Detailed table reports Brad Bradford at 36%, while release prose says 35%; the table token is preserved. Displayed shares sum to 101% because of source rounding. Dependent reading from the same sample.",general_vote_intention
forum_20260729_mayor_alexander,forum-2026-07-29,forum_2026-07-29_full,"page 4, additional-candidate mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"Now I'd like to ask a similar question with one additional candidate in the race. If the mayoral election were held today, who would you vote for? + Even though you may not have made up your mind, who are you leaning toward at this time among these candidates?",Chris Alexander added,Toronto residents over the age of 18,not_reported,,custom,[Decided/ Leaning],reported,889,reported,890,not_reported,,unknown,complete,percent,0,"Detailed table reports “Someone else” at 10%, while release prose says 11%; the table token is preserved. Dependent reading from the same sample.",general_vote_intention
liaison_20260804_05_mayor_all,liaison-2026-08-05,liaison_2026-08-05_tables,"page 1, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,1,reported,"If a Toronto mayoral election were held today, who would you vote for?",,Toronto residents,not_reported,,all_respondents,All voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-08-05_tables page 1, Total column; population is reported in liaison_2026-08-05_graphs page 3. No turnout or eligibility screen and no questionnaire order are reported. Response option_order preserves published table row order only. Complete published outcome rows sum to 101%; graph page 3 says results may not add to 100% because of rounding.",general_vote_intention
liaison_20260804_05_mayor_decided_leaning,liaison-2026-08-05,liaison_2026-08-05_tables,"page 2, mayoral vote intention, Total column",mayoral,toronto-mayor-2026,not_reported,,2,reported,"If a Toronto mayoral election were held today, who would you vote for? Decided voters only.",,Toronto residents,not_reported,,custom,Decided and Leaning voters,reported,803,reported,804,not_reported,,unknown,complete,percent,0,"Primary values, bases, wording, and denominator are in liaison_2026-08-05_tables page 2, Total column; population is reported in liaison_2026-08-05_graphs page 3. Within the table, the question ends 'Decided voters only' while the subtitle labels the denominator 'Decided and Leaning voters'; both exact source statements are preserved. Companion graph page 4 uses alternate question wording, labels the denominator 'Decided and Leaning', and reports the same 47/40/10/3 shares. No turnout or eligibility screen and no questionnaire order are reported.",general_vote_intention
